Number Description;i_Grossbuchstabe;i_Ziffer;d_Hauptberuf_m;d_Hauptberuf_w;d_Hauptberuf;high;medium;low;unskilled;intermediate;share high;share medium;share low;share unskilled
Dachdecker (Ziegel-, Schiefer, Schindel-, Stroh-);B;149;29394;118;29512;0;0;26523;2989;0.00%;0.00%;0.00%;89.87%;10.13%
Steinsetzer, Pflasterer und Asphaltierer;B;150;22528;98;22626;0;0;15078;7548;0.00%;0.00%;0.00%;66.64%;33.36%
Brunnenmacher;B;151;4238;66;4304;0;0;0;4304;0.00%;0.00%;0.00%;0.00%;100.00%
Einrichter von Gas- und Wasseranlagen, auch wenn mit Klempnerei verbunden (Gas und Wasserinstallateure);B;152;15315;301;15616;0;11513;0;4103;0.00%;0.00%;73.72%;0.00%;26.28%
Ofensetzer (auch Töpfer und Ofensetzer) Ofenputzer;B;153;12848;143;12991;0;12110;0;881;0.00%;0.00%;93.22%;0.00%;6.78%
Schornsteinfeger;B;154;5734;75;5809;0;0;0;5809;0.00%;0.00%;0.00%;0.00%;100.00%
Schriftschneiderei und -gießerei;B;155;1202;152;1354;0;0;1094;260;0.00%;0.00%;0.00%;80.83%;19.17%
Holzschnitt;B;156;658;10;668;0;597;0;71;0.00%;0.00%;89.41%;0.00%;10.59%
Buchdruckerei;B;157;61523;11019;72542;0;55288;0;17254;0.00%;0.00%;76.21%;0.00%;23.79%
Stein- und Zinkdruckerei;B;158;12690;1298;13988;0;0;11073;2915;0.00%;0.00%;0.00%;79.16%;20.84%
Kupfer- und Stahldruckerei;B;159;496;27;523;0;0;491;32;0.00%;0.00%;0.00%;93.95%;6.05%
Farbendruckerei;B;160;1185;1725;2910;0;0;1106;1804;0.00%;0.00%;0.00%;37.99%;62.01%
Photographie;B;161;8388;2080;10468;0;4461;0;6007;0.00%;0.00%;42.61%;0.00%;57.39%
Maler und Bildhauer (Künstler);B;162;6784;1057;7841;0;7727;0;114;0.00%;0.00%;98.55%;0.00%;1.45%
Graveure, Steinschneider, Modelleure;B;163;7304;111;7415;0;0;7079;336;0.00%;0.00%;0.00%;95.47%;4.53%
Musterzeichner, Kalligraphen;B;164;1155;147;1302;0;1280;0;22;0.00%;0.00%;98.29%;0.00%;1.71%
Sonstige künstlerische Berufe (mit Ausnahme von Musik, Theater und Schaustellung);B;165;1718;206;1924;0;1707;0;217;0.00%;0.00%;88.70%;0.00%;11.30%
Waren- und Produktenhandel im stehenden Geschäftsbetrieb;C;1;544441;293152;837593;0;427974;225719;183901;0.00%;0.00%;51.10%;26.95%;21.96%
Geld- und Kredithandel;C;2;39783;1778;41561;0;30696;6270;4595;0.00%;0.00%;73.86%;15.09%;11.06%
Buch-, Kunst- und Musikalienhandel, einschließlich Verlag, Antiquariatshandel, Leihbibliotheken;C;3;15500;4172;19672;0;11367;4636;3669;0.00%;0.00%;57.78%;23.57%;18.65%
Zeitungsverlag und -spedition (auch -expedition);C;4;5297;5669;10966;1062;2525;387;6992;0.00%;9.69%;23.02%;3.53%;63.76%
Hausirhandel (einschließlich Straßenhandel);C;5;10381;5893;16274;0;0;0;16274;0.00%;0.00%;0.00%;0.00%;100.00%
Handelsvermittlung (Makler [ausgenommen Schiffsmakler], Kommissionäre, Agenten [ausgenommen Versicherungs- und Schiffsagenten]);C;6;25953;1839;27792;0;26162;663;967;0.00%;0.00%;94.13%;2.39%;3.48%
Hilfsgewerbe des Handels (Stauer, Schauerleute, Taxatoren, Markthelfer, Messer, Wäger, Packer, Sackträger);C;7;20297;1187;21484;0;0;0;21484;0.00%;0.00%;0.00%;0.00%;100.00%
Versteigerung, Verleihung, Aufbewahrung;C;8;4890;676;5566;0;717;2454;2395;0.00%;0.00%;12.88%;44.10%;43.02%
Stellenvermittlung;C;9;1141;3021;4162;0;3954;37;172;0.00%;0.00%;95.00%;0.88%;4.13%
Annoncen-Vermittlung, Auskunftsbüros;C;10;2511;703;3214;0;2879;130;205;0.00%;0.00%;89.58%;4.03%;6.39%
Versicherungsgewerbe;C;11;34258;2138;36396;0;34031;304;2061;0.00%;0.00%;93.50%;0.84%;5.66%
Post- und Telegraphenbetrieb: a) Direktions- und Inspektionspersonal (Direktoren, Inspektoren und Verwaltungsbeamte, Postamtsvorsteher) b) Sonstige Verwaltungs-, Aufsichts- und Büropersonal (außer dem bei c bezeichneten) c) Brief- und Telegrammträger, Postschaffner und Postboten und andere entsprechend Beschäftigte und Diener;C;12;136660;14756;151416;6232;0;145184;0;0.00%;4.12%;0.00%;95.88%;0.00%
Eisenbahnbetrieb, mit Ausschluss des Straßenbahnbetriebs: a) Direktions- und Inspektionspersonal (Direktoren, Inspektoren und Verwaltungsbeamte, Betriebs- und Stationsvorsteher) b) Sonstiges Verwaltungs-, Aufsichts- und Büropersonal (außer dem bei c bezeichneten) c) Eisenbahnschaffner, beim Fahr-, Bahnhofs- und Rangierdienst Beschäftigte, Bahnwärter und andere entsprechend Beschäftigte und Diener;C;13;255788;4487;260275;5120;0;255155;0;0.00%;1.97%;0.00%;98.03%;0.00%
Posthalterei und Personenfuhrwerk;C;14;51945;1264;53209;0;16866;11508;24835;0.00%;0.00%;31.70%;21.63%;46.67%
Straßenbahntrieb;C;15;27256;253;27509;0;2124;13882;11503;0.00%;0.00%;7.72%;50.46%;41.82%
Spedition und Güterbeförderung;C;16;26877;985;27862;0;6294;5440;16127;0.00%;0.00%;22.59%;19.53%;57.88%
Frachtfuhrwerk;C;17;30941;667;31608;0;0;11242;20366;0.00%;0.00%;0.00%;35.57%;64.43%
Reederei und Schiffsbefrachtung;C;18;3345;129;3474;0;0;0;3474;0.00%;0.00%;0.00%;0.00%;100.00%
See- und Küstenschifffahrt;C;19;11480;77;11557;0;909;2207;8442;0.00%;0.00%;7.86%;19.10%;73.04%
Binnenschifffahrt;C;20;33681;865;34546;0;8010;4200;22335;0.00%;0.00%;23.19%;12.16%;64.65%
Hafen- und Lotsendienst, Küstenbewachungs- und -beleuchtungswesen, Schleusen- und Kanalwacht;C;21;3108;12;3120;0;1389;371;1361;0.00%;0.00%;44.50%;11.88%;43.61%
Auswanderungsvermittlung, Reisebüros;C;22;161;33;194;0;135;34;25;0.00%;0.00%;69.80%;17.54%;12.66%
Dienstmannsinstitute und Dienstmänner, Wach- und Schließgesellschaften, Lohndiener, Botengänger, Kofferträger, Fremdenführer und dergleichen;C;23;7914;1158;9072;0;0;0;9072;0.00%;0.00%;0.00%;0.00%;100.00%
Straßenreinigung, Abfuhranstalten und Müllbeseitigung ohne Verwertung der Abfallstoffe;C;24;9166;659;9825;0;0;0;9825;0.00%;0.00%;0.00%;0.00%;100.00%
Abdeckerei;C;25;871;55;926;0;0;926;0;0.00%;0.00%;0.00%;100.00%;0.00%
Leichenbestattung, einschließlich Totengräber;C;26;2575;774;3349;0;1376;0;1973;0.00%;0.00%;41.09%;0.00%;58.91%
