id_inequality,rb_id,rb_name,province_id,s_industry,s_prot,s_german,longitud,latitud,slope_km,soil_suitability,mean_temp,mean_preci,dist_100km,log_distance_carbon_c,NAME,county_name,uni_dummy,min_distance_uni,prov_cap_dummy,BER_dummy,density
520.0,2.0,Arnsberg,10.0,33.07321080193038,3.7986905939428195,99.60141271442987,8.6310553444,51.312841281,0.136,2.666666666666667,7.155,91.811,0.456,1.9200152740329315,BRILON,Brilon,0,0.5038588141547012,0,0,52.77488984603198
521.0,2.0,Arnsberg,10.0,35.34442471258996,12.456387341617187,99.4281264448933,8.3991343846,51.5777202255,0.082,2.2,8.781,76.192,0.127,2.334804305802099,LIPPSTADT,Lippstadt,0,0.8294817832329155,0,0,52.77488984603198
522.0,2.0,Arnsberg,10.0,29.00268174240777,41.53997378768021,99.50372208436724,8.06456136,51.5585160641,0.07,2.0,9.007,71.665,0.121,1.9323078043609865,SOEST,Soest,0,0.5968703480170736,0,0,52.77488984603198
524.0,2.0,Arnsberg,10.0,55.44795663560509,38.881890845796214,98.55670103092784,7.8179293254,51.6801279169,0.048,3.2619552908393,9.793,64.783,0.019,2.95146577335925,HAMM,Hamm Stadt,0,0.3394312808321439,0,0,52.77488984603198
525.0,2.0,Arnsberg,10.0,54.86927081851546,65.73516680424409,98.55670103092784,7.7643443704,51.5897199168,0.056,2.666666666666667,9.52,68.617,0.104,2.4848012252467955,HAMM,Hamm Land,0,0.39289062148349807,0,0,52.77488984603198
527.0,2.0,Arnsberg,10.0,61.81357328432926,49.88143362617049,96.36524139477206,7.4758323716,51.5240576549,0.056,2.048730662306343,9.92,72.379,0.118,1.6579294461420793,DORTMUNS,Dortmund Stadt,0,0.4529628619734312,0,0,52.77488984603198
528.0,2.0,Arnsberg,10.0,74.55203696399391,48.976360193403785,88.44518645190507,7.4506401347,51.55619543,0.054,2.0,9.852,71.7,0.088,2.1227412356078212,DORTMUND,Dortmund Land,0,0.4316740121528203,0,0,52.77488984603198
529.0,2.0,Arnsberg,10.0,65.96283783783784,65.10956669739734,97.5231957426957,7.5227732309,51.4638915558,0.063,2.25,9.42,76.598,0.126,0.0,HORDE,Hoerde,0,0.4994409179196239,0,0,52.77488984603198
533.0,2.0,Arnsberg,10.0,67.50241269966321,47.35158583520167,95.99853549144942,7.234160865,51.4878235718,0.061,2.0,9.943,79.619,0.066,0.794558865175889,BOCHUM,Bochum Stadt,0,0.603859524699329,0,0,52.77488984603198
534.0,2.0,Arnsberg,10.0,77.972872130284,62.13834179244577,88.8975343761866,7.2609652634,51.4694202693,0.059,2.0,9.823,79.921,0.039,0.0,BOCHUM,Bochum Land,0,0.601920328150375,0,0,52.77488984603198
