id_inequality,high,medium,low,unskilled,d_Hauptberuf_Ind,d_Hauptberuf
56.0,7.085761842384117,1478.2821472405158,483.98086939373735,823.6512215233628,2793.0,28209.0
57.0,16.58636609050298,3302.62001364534,1409.8946144757917,2001.8990057883652,6731.0,20007.0
58.0,3.22387666042276,719.7163166472501,236.94429321410016,365.115513478227,1325.0,10159.0
59.0,7.9847351826698425,1791.5229214720387,650.6089211339747,978.8834222113168,3429.0,14381.0
60.0,22.99857301287911,3277.8540817112194,1643.1674264658002,2316.9799188101015,7261.0,28324.0
61.0,24.455704681870845,3198.1509620207553,1442.2526893067813,1417.1406439905925,6082.0,23125.0
62.0,11.767326924709176,2187.138874857615,754.1012072989967,1063.9925909186793,4017.0,21711.0
63.0,17.56971250549985,2538.162462064996,1122.8606410879743,1226.4071843415297,4905.0,23686.0
64.0,14.021354725332081,2148.05579543064,769.9984054122248,957.9244444318028,3890.0,19484.0
66.0,30.573636012338916,4669.709283130899,2311.3438739408443,2623.3732069159178,9635.0,17188.0
67.0,41.660320776494814,2449.6265591103215,1402.3680348459884,1783.3450852671951,5677.0,26657.0
68.0,17.484607451979862,2375.9051025224426,841.1859088898942,1023.4243811356831,4258.0,20249.0
70.0,31.188568772729727,4468.300095901709,2355.9707221497124,2671.540613175849,9527.0,15616.0
71.0,12.703958436661697,1593.0096772534,686.4567195018349,941.8296448081032,3234.0,19729.0
72.0,22.41389198006582,3662.030871021921,1633.7040681696003,2252.8511688284125,7571.0,35495.0
73.0,7.444225315948158,1263.280245725654,522.6339729312556,532.6415560271422,2326.0,12886.0
74.0,20.54555006784977,2534.390954118123,1358.723494436574,1782.3400013774533,5696.0,22214.0
75.0,17.38332923320604,2702.3679312350278,916.6097161572287,1247.6390233745376,4884.0,26805.0
76.0,15.065476303883688,2614.0423945741427,970.7637215477496,1327.128407574224,4927.0,28163.0
77.0,17.51994655754271,3631.8085922326504,1305.547348613289,1771.124112596518,6726.0,26670.0
78.0,1581.6742236441448,365432.15082335024,186634.77071302824,201474.40423997736,755123.0,896355.0
79.0,41.97632660620208,4399.725754342979,1996.891827654171,1841.4060913966482,8280.0,28799.0
80.0,16.11569952659992,3909.396490573616,2140.9471651245904,6160.540644775194,12227.0,24656.0
81.0,28.42984494663755,4681.101372822809,2990.098998013269,3858.369784217284,11558.0,30774.0
83.0,71.45004968196625,10307.909398174623,5888.9654992640035,8348.675052879405,24617.0,43499.0
85.0,450.43733862545275,60934.22962131239,32520.783710960608,47059.549329101545,140965.0,181651.0
86.0,263.99716689917443,35387.76079763551,19089.206314727293,23107.035720738026,77848.0,98945.0
87.0,158.79036438814575,29227.727198720797,16159.518306743603,19507.96413014745,65054.0,71416.0
88.0,169.56358612089386,21192.904756906988,11516.722788312107,11782.808868660011,44662.0,59065.0
91.0,336.01823023016965,47230.87133088163,28957.12197789934,39757.98846098886,116282.0,164658.0
92.0,15.462929776837083,4033.710288578835,1512.3189693741172,3384.5078122702107,8946.0,22225.0
93.0,26.848015761892388,6154.850832154069,5854.837533278694,5677.463618805345,17714.0,42164.0
94.0,22.54393590542845,6828.011449368602,3045.5575051187193,6323.88710960725,16220.0,41854.0
95.0,43.16418248242472,7515.929335163354,4064.1646613047333,4265.741821049487,15889.0,27092.0
96.0,307.4053611304243,10996.794367307173,4045.158879437112,9656.64139212529,25006.0,33091.0
97.0,65.60896074153838,6921.4881620499045,3872.83291691494,6142.0699602936165,17002.0,41439.0
98.0,50.6307327687527,7784.009484827206,3739.0457260404924,5625.314056363549,17199.0,22999.0
